Time,Value
10/1/2017 9:04:00 AM,53
10/1/2017 9:05:00 AM,54
10/1/2017 9:06:00 AM,50
10/1/2017 9:07:00 AM,53
10/1/2017 9:08:00 AM,51
10/1/2017 9:09:00 AM,51
10/1/2017 9:10:00 AM,51
10/1/2017 9:11:00 AM,52
10/1/2017 9:12:00 AM,51
10/1/2017 9:13:00 AM,53
10/1/2017 9:14:00 AM,59
10/1/2017 9:15:00 AM,55
10/1/2017 9:16:00 AM,53
10/1/2017 9:17:00 AM,52
10/1/2017 9:18:00 AM,54
10/1/2017 9:19:00 AM,53
10/1/2017 9:20:00 AM,52
10/1/2017 9:21:00 AM,54
10/1/2017 9:22:00 AM,57
10/1/2017 9:23:00 AM,53
10/1/2017 9:24:00 AM,51
10/1/2017 9:25:00 AM,50
10/1/2017 9:26:00 AM,49
10/1/2017 9:27:00 AM,51
10/1/2017 9:28:00 AM,50
10/1/2017 9:29:00 AM,53
10/1/2017 9:30:00 AM,50
10/1/2017 9:31:00 AM,52
10/1/2017 9:32:00 AM,58
10/1/2017 9:33:00 AM,59
10/1/2017 9:34:00 AM,54
10/1/2017 9:35:00 AM,48
10/1/2017 9:36:00 AM,47
10/1/2017 9:37:00 AM,46
10/1/2017 9:38:00 AM,47
10/1/2017 9:39:00 AM,46
10/1/2017 9:40:00 AM,49
10/1/2017 9:41:00 AM,45
10/1/2017 9:42:00 AM,47
10/1/2017 9:43:00 AM,55
10/1/2017 9:44:00 AM,62
10/1/2017 9:45:00 AM,56
10/1/2017 9:46:00 AM,56
10/1/2017 9:47:00 AM,60
10/1/2017 9:48:00 AM,60
10/1/2017 9:49:00 AM,68
10/1/2017 9:50:00 AM,67
10/1/2017 9:51:00 AM,67
10/1/2017 9:52:00 AM,63
10/1/2017 9:53:00 AM,61
10/1/2017 9:54:00 AM,69
10/1/2017 9:55:00 AM,73
10/1/2017 9:56:00 AM,85
10/1/2017 9:57:00 AM,86
10/1/2017 9:58:00 AM,73
10/1/2017 9:59:00 AM,73
10/1/2017 10:00:00 AM,82
10/1/2017 10:01:00 AM,68
10/1/2017 10:02:00 AM,63
10/1/2017 10:03:00 AM,60
10/1/2017 10:04:00 AM,55
10/1/2017 10:05:00 AM,56
10/1/2017 10:06:00 AM,59
10/1/2017 10:07:00 AM,62
10/1/2017 10:08:00 AM,70
10/1/2017 10:09:00 AM,59
10/1/2017 10:10:00 AM,52
10/1/2017 10:11:00 AM,54
10/1/2017 10:12:00 AM,51
10/1/2017 10:13:00 AM,51
10/1/2017 10:14:00 AM,51
10/1/2017 10:15:00 AM,52
10/1/2017 10:16:00 AM,52
10/1/2017 10:17:00 AM,53
10/1/2017 10:18:00 AM,52
10/1/2017 10:19:00 AM,54
10/1/2017 10:20:00 AM,54
10/1/2017 10:21:00 AM,53
10/1/2017 10:22:00 AM,59
10/1/2017 10:23:00 AM,68
10/1/2017 10:24:00 AM,71
10/1/2017 10:25:00 AM,64
10/1/2017 10:26:00 AM,55
10/1/2017 10:27:00 AM,58
10/1/2017 10:28:00 AM,58
10/1/2017 10:29:00 AM,52
10/1/2017 10:30:00 AM,54
10/1/2017 10:31:00 AM,58
10/1/2017 10:32:00 AM,53
10/1/2017 10:33:00 AM,53
10/1/2017 10:34:00 AM,53
10/1/2017 10:35:00 AM,54
10/1/2017 10:36:00 AM,54
10/1/2017 10:37:00 AM,53
10/1/2017 10:38:00 AM,54
10/1/2017 10:39:00 AM,54
10/1/2017 10:40:00 AM,53
10/1/2017 10:41:00 AM,59
10/1/2017 10:42:00 AM,69
10/1/2017 10:43:00 AM,68
10/1/2017 10:44:00 AM,63
10/1/2017 10:45:00 AM,64
10/1/2017 10:46:00 AM,63
10/1/2017 10:47:00 AM,63
10/1/2017 10:48:00 AM,64
10/1/2017 10:49:00 AM,67
10/1/2017 10:50:00 AM,67
10/1/2017 10:51:00 AM,63
10/1/2017 10:52:00 AM,61
10/1/2017 10:53:00 AM,65
10/1/2017 10:54:00 AM,82
10/1/2017 10:55:00 AM,104
10/1/2017 10:56:00 AM,105
10/1/2017 10:57:00 AM,86
10/1/2017 10:58:00 AM,62
10/1/2017 10:59:00 AM,54
10/1/2017 11:00:00 AM,53
10/1/2017 11:01:00 AM,55
10/1/2017 11:02:00 AM,54
10/1/2017 11:03:00 AM,54
10/1/2017 11:04:00 AM,53
10/1/2017 11:05:00 AM,51
10/1/2017 11:06:00 AM,50
10/1/2017 11:07:00 AM,51
10/1/2017 11:08:00 AM,51
10/1/2017 11:09:00 AM,53
10/1/2017 11:10:00 AM,55
10/1/2017 11:11:00 AM,56
10/1/2017 11:12:00 AM,55
10/1/2017 11:13:00 AM,55
10/1/2017 11:14:00 AM,57
10/1/2017 11:15:00 AM,58
10/1/2017 11:16:00 AM,61
10/1/2017 11:17:00 AM,72
10/1/2017 11:18:00 AM,94
10/1/2017 11:19:00 AM,107
10/1/2017 11:20:00 AM,82
10/1/2017 11:21:00 AM,82
10/1/2017 11:22:00 AM,70
10/1/2017 11:23:00 AM,58
10/1/2017 11:24:00 AM,58
10/1/2017 11:25:00 AM,55
10/1/2017 11:26:00 AM,56
10/1/2017 11:27:00 AM,57
10/1/2017 11:28:00 AM,59
10/1/2017 11:29:00 AM,61
10/1/2017 11:30:00 AM,61
10/1/2017 11:31:00 AM,58
10/1/2017 11:32:00 AM,62
10/1/2017 11:33:00 AM,71
10/1/2017 11:34:00 AM,66
10/1/2017 11:35:00 AM,59
10/1/2017 11:36:00 AM,56
10/1/2017 11:37:00 AM,57
10/1/2017 11:38:00 AM,64
10/1/2017 11:39:00 AM,56
10/1/2017 11:40:00 AM,53
10/1/2017 11:41:00 AM,57
10/1/2017 11:42:00 AM,60
10/1/2017 11:43:00 AM,66
10/1/2017 11:44:00 AM,71
10/1/2017 11:45:00 AM,68
10/1/2017 11:46:00 AM,64
10/1/2017 11:47:00 AM,64
10/1/2017 11:48:00 AM,65
10/1/2017 11:49:00 AM,65
10/1/2017 11:50:00 AM,66
10/1/2017 11:51:00 AM,62
10/1/2017 11:52:00 AM,60
10/1/2017 11:53:00 AM,57
10/1/2017 11:54:00 AM,57
10/1/2017 11:55:00 AM,59
10/1/2017 11:56:00 AM,63
10/1/2017 11:57:00 AM,55
10/1/2017 11:58:00 AM,54
10/1/2017 11:59:00 AM,53
10/1/2017 12:00:00 PM,53
10/1/2017 12:01:00 PM,54
10/1/2017 12:02:00 PM,55
10/1/2017 12:03:00 PM,57
10/1/2017 12:04:00 PM,55
10/1/2017 12:05:00 PM,58
10/1/2017 12:06:00 PM,57
10/1/2017 12:07:00 PM,58
10/1/2017 12:08:00 PM,59
10/1/2017 12:09:00 PM,66
10/1/2017 12:10:00 PM,67
10/1/2017 12:11:00 PM,65
10/1/2017 12:12:00 PM,65
10/1/2017 12:13:00 PM,63
10/1/2017 12:14:00 PM,61
10/1/2017 12:15:00 PM,62
10/1/2017 12:16:00 PM,66
10/1/2017 12:17:00 PM,60
10/1/2017 12:18:00 PM,58
10/1/2017 12:19:00 PM,61
10/1/2017 12:20:00 PM,65
10/1/2017 12:21:00 PM,66
10/1/2017 12:22:00 PM,68
10/1/2017 12:23:00 PM,77
10/1/2017 12:24:00 PM,97
10/1/2017 12:25:00 PM,81
10/1/2017 12:26:00 PM,67
10/1/2017 12:27:00 PM,69
10/1/2017 12:28:00 PM,74
10/1/2017 12:29:00 PM,80
10/1/2017 12:30:00 PM,85
10/1/2017 12:31:00 PM,80
